bridge,seed,solver_call_id,reg,reg_m,numItermax,stopThr,iterations,final_err,converged,hit_max_iter,runtime_sec,marginal_violation_row_l1,marginal_violation_col_l1,marginal_violation_row_max,marginal_violation_col_max,transport_mass_total,plan_sha256,cost_matrix_sha256,solver_invocations_for_this_cell,kkt
Multi,411,UOT|Multi|411|eps0.05|lam0.5,0.05,0.5,20000,1e-11,131,9.501390061783326e-12,True,False,0.029718637466430664,0.32948929795220655,0.3294892979522063,0.016164958857577696,0.01689651540341911,0.6705107020477937,61e5c2b375d8fafc6621039a713b3c1bdf755ee4688cd73098cc74e93808b2d3,34af73bf19610d33c3ae79ad0df19f01d6b55600024a0eecd6945ed3c1c403f0,1,"{'definition': ""KKT marginal residual of the entropic UNBALANCED OT optimum as POT solves it (reg_type='kl', K_eff = exp(-C/reg) * a outer b): max|P1 - a*u^(-reg/reg_m)| and max|P^T1 - b*v^(-reg/reg_m)|"", 'pot_reg_type': 'kl (POT default since 0.9.5)', 'effective_kernel': 'exp(-C/reg) * outer(a, b)', 'marginal_kkt_row_max': 2.0227569619279961e-13, 'marginal_kkt_col_max': 2.0222018504156836e-13, 'marginal_kkt_max': 2.0227569619279961e-13, 'plan_reconstruction_abs_err': 4.0054765060304476e-14, 'plan_reconstruction_rel_err': 4.288426804483484e-12, 'n_iter': 188, 'balanced_marginal_row_max': 0.016164958857577696, 'balanced_marginal_col_max': 0.01689651540341911, 'note': ""the 'balanced' figures are reported only to document that a raw |P1-a| check is not the right diagnostic for an unbalanced solve""}"
Multi,412,UOT|Multi|412|eps0.05|lam0.5,0.05,0.5,20000,1e-11,131,8.620274361902664e-12,True,False,0.032704830169677734,0.2933908492018924,0.2933908492018921,0.027472122147729802,0.02806731751448266,0.7066091507981076,60a3611f8d591ff60f613f01f631e07785bac533c79eb9f2473c167e9497e629,b718c72b3ccb0c8148fe77de4081d5ba05b2fcccce31ba58bd06b4483b87f0e6,1,"{'definition': ""KKT marginal residual of the entropic UNBALANCED OT optimum as POT solves it (reg_type='kl', K_eff = exp(-C/reg) * a outer b): max|P1 - a*u^(-reg/reg_m)| and max|P^T1 - b*v^(-reg/reg_m)|"", 'pot_reg_type': 'kl (POT default since 0.9.5)', 'effective_kernel': 'exp(-C/reg) * outer(a, b)', 'marginal_kkt_row_max': 3.274464033253821e-13, 'marginal_kkt_col_max': 3.2759905899126807e-13, 'marginal_kkt_max': 3.2759905899126807e-13, 'plan_reconstruction_abs_err': 6.521172490892013e-14, 'plan_reconstruction_rel_err': 3.8583874069666e-12, 'n_iter': 185, 'balanced_marginal_row_max': 0.027472122147729802, 'balanced_marginal_col_max': 0.02806731751448266, 'note': ""the 'balanced' figures are reported only to document that a raw |P1-a| check is not the right diagnostic for an unbalanced solve""}"
Multi,413,UOT|Multi|413|eps0.05|lam0.5,0.05,0.5,20000,1e-11,131,8.347054824610678e-12,True,False,0.03251791000366211,0.2793000278477225,0.27930002784772306,0.03220148847366819,0.03252121900674307,0.7206999721522774,93df774cb0992618014cadbb08e8c3dd5f0552711926119d808f2e06c436742d,72a99f0d1269be44edafee534dea8219cc884db021dd2b9f6a84135a246e524b,1,"{'definition': ""KKT marginal residual of the entropic UNBALANCED OT optimum as POT solves it (reg_type='kl', K_eff = exp(-C/reg) * a outer b): max|P1 - a*u^(-reg/reg_m)| and max|P^T1 - b*v^(-reg/reg_m)|"", 'pot_reg_type': 'kl (POT default since 0.9.5)', 'effective_kernel': 'exp(-C/reg) * outer(a, b)', 'marginal_kkt_row_max': 3.8161140913928193e-13, 'marginal_kkt_col_max': 3.8261060986144457e-13, 'marginal_kkt_max': 3.8261060986144457e-13, 'plan_reconstruction_abs_err': 7.617864672404551e-14, 'plan_reconstruction_rel_err': 3.694304169689846e-12, 'n_iter': 185, 'balanced_marginal_row_max': 0.03220148847366819, 'balanced_marginal_col_max': 0.03252121900674307, 'note': ""the 'balanced' figures are reported only to document that a raw |P1-a| check is not the right diagnostic for an unbalanced solve""}"
Multi,414,UOT|Multi|414|eps0.05|lam0.5,0.05,0.5,20000,1e-11,131,9.76768014269191e-12,True,False,0.03099203109741211,0.32217330477618267,0.3221733047761828,0.016310196457386517,0.017650331047061027,0.6778266952238173,8520299aa2c1bb1d772f7eb873a5b039abf92c6d84ab49dd18b876b19d4e600e,3191c3a115728bc5f476989892660e519e2ab5a5e5b4110e2fad65662eacf6f0,1,"{'definition': ""KKT marginal residual of the entropic UNBALANCED OT optimum as POT solves it (reg_type='kl', K_eff = exp(-C/reg) * a outer b): max|P1 - a*u^(-reg/reg_m)| and max|P^T1 - b*v^(-reg/reg_m)|"", 'pot_reg_type': 'kl (POT default since 0.9.5)', 'effective_kernel': 'exp(-C/reg) * outer(a, b)', 'marginal_kkt_row_max': 2.0462104233232026e-13, 'marginal_kkt_col_max': 2.054398318129813e-13, 'marginal_kkt_max': 2.054398318129813e-13, 'plan_reconstruction_abs_err': 4.069487802293992e-14, 'plan_reconstruction_rel_err': 4.396549579848285e-12, 'n_iter': 184, 'balanced_marginal_row_max': 0.016310196457386517, 'balanced_marginal_col_max': 0.017650331047061027, 'note': ""the 'balanced' figures are reported only to document that a raw |P1-a| check is not the right diagnostic for an unbalanced solve""}"
Multi,415,UOT|Multi|415|eps0.05|lam0.5,0.05,0.5,20000,1e-11,131,9.835946414601855e-12,True,False,0.03858542442321777,0.3449412750185777,0.3449412750185778,0.016913945858064775,0.01984058619301541,0.6550587249814224,a66161cb5700f74d8ab7b5c06617741c23c30766f742687d648ef409a2499ccf,11c2e34a4031b2ab837c5f889b71865ae8e6100bbfc6b742f58bb3be552dc084,1,"{'definition': ""KKT marginal residual of the entropic UNBALANCED OT optimum as POT solves it (reg_type='kl', K_eff = exp(-C/reg) * a outer b): max|P1 - a*u^(-reg/reg_m)| and max|P^T1 - b*v^(-reg/reg_m)|"", 'pot_reg_type': 'kl (POT default since 0.9.5)', 'effective_kernel': 'exp(-C/reg) * outer(a, b)', 'marginal_kkt_row_max': 1.0137723993608461e-13, 'marginal_kkt_col_max': 1.575267694065019e-13, 'marginal_kkt_max': 1.575267694065019e-13, 'plan_reconstruction_abs_err': 3.1493037344620944e-14, 'plan_reconstruction_rel_err': 4.460868468615053e-12, 'n_iter': 187, 'balanced_marginal_row_max': 0.016913945858064775, 'balanced_marginal_col_max': 0.01984058619301541, 'note': ""the 'balanced' figures are reported only to document that a raw |P1-a| check is not the right diagnostic for an unbalanced solve""}"
Multi,416,UOT|Multi|416|eps0.05|lam0.5,0.05,0.5,20000,1e-11,131,9.419680062323582e-12,True,False,0.043623924255371094,0.3135901747563874,0.31359017475638684,0.011751203572045881,0.012205910308460088,0.6864098252436127,eadd44841dcacdfa27ce8fdf50c3b21dd0f45375edb37f9c52f1f0734e20e597,16ff739d825ecd6bee6aa72a2e66cc57a395bd6a0e542c0fe77807d79bd692ed,1,"{'definition': ""KKT marginal residual of the entropic UNBALANCED OT optimum as POT solves it (reg_type='kl', K_eff = exp(-C/reg) * a outer b): max|P1 - a*u^(-reg/reg_m)| and max|P^T1 - b*v^(-reg/reg_m)|"", 'pot_reg_type': 'kl (POT default since 0.9.5)', 'effective_kernel': 'exp(-C/reg) * outer(a, b)', 'marginal_kkt_row_max': 1.3349737981727117e-13, 'marginal_kkt_col_max': 1.3394840792102514e-13, 'marginal_kkt_max': 1.3394840792102514e-13, 'plan_reconstruction_abs_err': 2.6521319862471415e-14, 'plan_reconstruction_rel_err': 4.261424461550984e-12, 'n_iter': 187, 'balanced_marginal_row_max': 0.011751203572045881, 'balanced_marginal_col_max': 0.012205910308460088, 'note': ""the 'balanced' figures are reported only to document that a raw |P1-a| check is not the right diagnostic for an unbalanced solve""}"
Multi,417,UOT|Multi|417|eps0.05|lam0.5,0.05,0.5,20000,1e-11,132,9.628754885051698e-12,True,False,0.0312657356262207,0.3760528261557589,0.3760528261557585,0.029202840867472553,0.028550195743477974,0.6239471738442411,e92fa785325b0b91742c50e0bd7d71045bcad58c9c1c0b52d4e8710a795237b9,7eb6dc8a1934f1574b641d07cedea9c120c4c25abb718486c0f10d3a1b262236,1,"{'definition': ""KKT marginal residual of the entropic UNBALANCED OT optimum as POT solves it (reg_type='kl', K_eff = exp(-C/reg) * a outer b): max|P1 - a*u^(-reg/reg_m)| and max|P^T1 - b*v^(-reg/reg_m)|"", 'pot_reg_type': 'kl (POT default since 0.9.5)', 'effective_kernel': 'exp(-C/reg) * outer(a, b)', 'marginal_kkt_row_max': 1.438987817792281e-13, 'marginal_kkt_col_max': 1.3877093918424066e-13, 'marginal_kkt_max': 1.438987817792281e-13, 'plan_reconstruction_abs_err': 2.241089258614437e-14, 'plan_reconstruction_rel_err': 4.367612895396504e-12, 'n_iter': 188, 'balanced_marginal_row_max': 0.029202840867472553, 'balanced_marginal_col_max': 0.028550195743477974, 'note': ""the 'balanced' figures are reported only to document that a raw |P1-a| check is not the right diagnostic for an unbalanced solve""}"
Multi,418,UOT|Multi|418|eps0.05|lam0.5,0.05,0.5,20000,1e-11,132,8.598131294248617e-12,True,False,0.043457984924316406,0.34537084285761227,0.34537084285761205,0.017336944199442067,0.018006933580614948,0.6546291571423879,1fc2da05e7b9e6348543e59aacd532dae636727095b0a57d4a4e19301e8c792f,e8121f5385e3f375beacbc9e61670ce8f38a55bc17ee7c2032edd18a2cfdfd8d,1,"{'definition': ""KKT marginal residual of the entropic UNBALANCED OT optimum as POT solves it (reg_type='kl', K_eff = exp(-C/reg) * a outer b): max|P1 - a*u^(-reg/reg_m)| and max|P^T1 - b*v^(-reg/reg_m)|"", 'pot_reg_type': 'kl (POT default since 0.9.5)', 'effective_kernel': 'exp(-C/reg) * outer(a, b)', 'marginal_kkt_row_max': 1.8879342533750787e-13, 'marginal_kkt_col_max': 1.8914037003270323e-13, 'marginal_kkt_max': 1.8914037003270323e-13, 'plan_reconstruction_abs_err': 3.733992282040077e-14, 'plan_reconstruction_rel_err': 3.8891210207883845e-12, 'n_iter': 187, 'balanced_marginal_row_max': 0.017336944199442067, 'balanced_marginal_col_max': 0.018006933580614948, 'note': ""the 'balanced' figures are reported only to document that a raw |P1-a| check is not the right diagnostic for an unbalanced solve""}"
Multi,419,UOT|Multi|419|eps0.05|lam0.5,0.05,0.5,20000,1e-11,132,8.51254286869066e-12,True,False,0.03188037872314453,0.3356622846911832,0.33566228469118337,0.01690412958274198,0.01613835232485535,0.6643377153088166,51035ac5e6150f88cb38b70cdf48ea46348bcd0099593fee610ed42fbe424616,e505b1cf3bd244531031c0a4646788584305256fd5e48af98d92478a6dde12b3,1,"{'definition': ""KKT marginal residual of the entropic UNBALANCED OT optimum as POT solves it (reg_type='kl', K_eff = exp(-C/reg) * a outer b): max|P1 - a*u^(-reg/reg_m)| and max|P^T1 - b*v^(-reg/reg_m)|"", 'pot_reg_type': 'kl (POT default since 0.9.5)', 'effective_kernel': 'exp(-C/reg) * outer(a, b)', 'marginal_kkt_row_max': 1.6258522306245027e-13, 'marginal_kkt_col_max': 1.6340401254311132e-13, 'marginal_kkt_max': 1.6340401254311132e-13, 'plan_reconstruction_abs_err': 3.2460145682478014e-14, 'plan_reconstruction_rel_err': 3.688284198054803e-12, 'n_iter': 186, 'balanced_marginal_row_max': 0.01690412958274198, 'balanced_marginal_col_max': 0.01613835232485535, 'note': ""the 'balanced' figures are reported only to document that a raw |P1-a| check is not the right diagnostic for an unbalanced solve""}"
Multi,420,UOT|Multi|420|eps0.05|lam0.5,0.05,0.5,20000,1e-11,133,8.597388864443447e-12,True,False,0.05264472961425781,0.39371774645232355,0.39371774645232366,0.04122937161849081,0.0401821850436299,0.6062822535476764,9f32779db9c35c068512e71fb17f235969d87d45bce3843225ea88a13a021dcb,1f67da206484d20dd13c8522161fb718c5ce56e14ca608c0273c837706b89f28,1,"{'definition': ""KKT marginal residual of the entropic UNBALANCED OT optimum as POT solves it (reg_type='kl', K_eff = exp(-C/reg) * a outer b): max|P1 - a*u^(-reg/reg_m)| and max|P^T1 - b*v^(-reg/reg_m)|"", 'pot_reg_type': 'kl (POT default since 0.9.5)', 'effective_kernel': 'exp(-C/reg) * outer(a, b)', 'marginal_kkt_row_max': 1.9405310691666955e-13, 'marginal_kkt_col_max': 1.8760687447993973e-13, 'marginal_kkt_max': 1.9405310691666955e-13, 'plan_reconstruction_abs_err': 3.0928384853190494e-14, 'plan_reconstruction_rel_err': 3.8997912391522175e-12, 'n_iter': 185, 'balanced_marginal_row_max': 0.04122937161849081, 'balanced_marginal_col_max': 0.0401821850436299, 'note': ""the 'balanced' figures are reported only to document that a raw |P1-a| check is not the right diagnostic for an unbalanced solve""}"
