bridge,seed,macro_f1,macro_recall,mean_T,mean_M
Celer,411,0.7549332611832612,0.6115440115440115,6.729166666666667,4.0
Celer,412,0.7158695471195471,0.5669011544011543,7.458333333333333,4.0
Celer,413,0.735187728937729,0.589222582972583,7.104166666666667,4.0
Celer,414,0.7309489121989122,0.5843253968253967,7.1875,4.0
Celer,415,0.7148157398157396,0.5646164021164021,7.4375,4.0
Celer,416,0.7357566045066045,0.5895863395863395,7.083333333333333,4.0
Celer,417,0.7211689454336514,0.5714234839234839,7.3125,4.0
Celer,418,0.7435335497835497,0.5962662337662338,6.875,4.0
Celer,419,0.7414377289377291,0.5955357142857142,6.958333333333333,4.0
Celer,420,0.7125770063270064,0.5642556517556517,7.5625,4.0
Multi,411,0.7573960761460762,0.6157407407407407,6.729166666666667,4.0
Multi,412,0.7300373237873239,0.5823743386243386,7.166666666666667,4.0
Multi,413,0.7419601232101233,0.5944775132275132,6.895833333333333,4.0
Multi,414,0.7412975912975913,0.5970268157768158,7.020833333333333,4.0
Multi,415,0.7220154845154845,0.5723965848965848,7.291666666666667,4.0
Multi,416,0.7279234654234653,0.5788389850889851,7.166666666666667,4.0
Multi,417,0.7456168831168831,0.5991071428571428,6.854166666666667,4.0
Multi,418,0.7440705128205128,0.5985449735449735,6.916666666666667,4.0
Multi,419,0.7307588245088246,0.5842322029822029,7.1875,4.0
Multi,420,0.7454642579642581,0.6017616642616642,6.9375,4.0
Poly,411,0.7498785936285938,0.6059854497354498,6.833333333333333,4.0
Poly,412,0.7679119491619493,0.6275462962962962,6.520833333333333,4.0
Poly,413,0.7363636363636363,0.589781746031746,7.0625,4.0
Poly,414,0.7241258741258741,0.5752014189514189,7.270833333333333,4.0
Poly,415,0.760421522921523,0.6183862433862434,6.645833333333333,4.0
Poly,416,0.7363560051060052,0.5906445406445406,7.083333333333333,4.0
Poly,417,0.7242167554667555,0.5744739057239058,7.229166666666667,4.0
Poly,418,0.7421814296814299,0.5954034391534392,6.916666666666667,4.0
Poly,419,0.7355658230658232,0.5893548581048581,7.083333333333333,4.0
Poly,420,0.7230082417582419,0.5735449735449735,7.270833333333333,4.0
