stratum,effect,per_bridge,per_bridge_n,n_templates,three_bridge_estimand_available,estimand_note,available_bridges,UOT_KR_f1_mean,HUNGARIAN_f1_mean,UOT_KR_f1_per_bridge,HUNGARIAN_f1_per_bridge
d_max=2,-0.10526870128665387,"{'Celer': -0.12322834645669288, 'Multi': -0.11853615520282182, 'Poly': -0.07404160220044693}","{'Celer': 254, 'Multi': 270, 'Poly': 277}",801,True,bridge-balanced three-bridge estimand,"['Celer', 'Multi', 'Poly']",0.5069496462754889,0.6115867070923251,"{'Celer': 0.5303149606299211, 'Multi': 0.4625925925925925, 'Poly': 0.528760529482551}","{'Celer': 0.653543307086614, 'Multi': 0.5811287477954143, 'Poly': 0.602802131682998}"
d_max>=3,0.1884190070465126,"{'Celer': 0.20514886118019074, 'Multi': 0.15918545060849343, 'Poly': 0.20092270935085368}","{'Celer': 226, 'Multi': 210, 'Poly': 203}",639,True,bridge-balanced three-bridge estimand,"['Celer', 'Multi', 'Poly']",0.33176265114847076,0.14306171648066146,"{'Celer': 0.3472475658765009, 'Multi': 0.2978467527361822, 'Poly': 0.3496087001043611}","{'Celer': 0.14209870469631006, 'Multi': 0.13866130212768862, 'Poly': 0.14868599075350736}"
