method,variant,bridge,omitted_component,is_primary_cost,n_seeds,seeds,mean_macro_edge_f1,std_macro_edge_f1,mean_precision,std_precision,mean_recall,std_recall,baseline_primary_cost_f1,delta_f1_vs_primary_cost,baseline_full_d6_f1,delta_f1_vs_full_d6,per_seed_f1_json,per_seed_delta_vs_primary_json,n_seeds_with_negative_delta,n_seeds_with_positive_delta
RAW_UOT_PLAN_D4,LOCO_AMOUNT,Multi,amount,True,5,"201,202,203,204,205",0.21058906893584312,0.015727057117227394,0.1343680555555556,0.010008026292820073,0.5208333333333333,0.044398305043556956,0.21058906893584312,0.0,0.18246902604133752,0.028120042894505592,"{""201"": 0.2035538386344838, ""202"": 0.22746992777234712, ""203"": 0.21414909015715466, ""204"": 0.18726736972704713, ""205"": 0.2205051183881829}","{""201"": 0.0, ""202"": 0.0, ""203"": 0.0, ""204"": 0.0, ""205"": 0.0}",0,0
RAW_UOT_PLAN_D4,LOCO_AMOUNT,Poly,amount,True,5,"201,202,203,204,205",0.25806451612903225,0.0,0.16,0.0,0.6666666666666666,0.0,0.25806451612903225,0.0,0.24120000150711357,0.01686451462191868,"{""201"": 0.25806451612903225, ""202"": 0.25806451612903225, ""203"": 0.25806451612903225, ""204"": 0.25806451612903225, ""205"": 0.25806451612903225}","{""201"": 0.0, ""202"": 0.0, ""203"": 0.0, ""204"": 0.0, ""205"": 0.0}",0,0
RAW_UOT_PLAN_D4,LOCO_EVIDENCE,Celer,evidence,False,5,"201,202,203,204,205",0.23783947553025464,0.005509528269200348,0.14916134399014835,0.005092114960723729,0.6138888888888888,0.02372826328231927,0.243631100082713,-0.005791624552458352,0.23793016907999992,-9.069354974527988e-05,"{""201"": 0.24079088647880362, ""202"": 0.24299426427659188, ""203"": 0.24162553299962922, ""204"": 0.23115516946335912, ""205"": 0.23263152443288937}","{""201"": -0.0005759456138349217, ""202"": 0.012380120355996338, ""203"": -0.016438983129403034, ""204"": -0.010211662629279417, ""205"": -0.01411165174577067}",4,1
RAW_UOT_PLAN_D4,LOCO_EVIDENCE,Multi,evidence,False,5,"201,202,203,204,205",0.1819717911295911,0.0056465931237448495,0.1141724780099949,0.0035751493609193015,0.45277777777777767,0.014018492526518303,0.21058906893584312,-0.028617277806252006,0.18246902604133752,-0.0004972349117464137,"{""201"": 0.18090601349616334, ""202"": 0.1877698315499576, ""203"": 0.1780086764499422, ""204"": 0.17539121721430764, ""205"": 0.1877832169375847}","{""201"": -0.022647825138320477, ""202"": -0.039700096222389514, ""203"": -0.036140413707212465, ""204"": -0.01187615251273949, ""205"": -0.032721901450598195}",5,0
RAW_UOT_PLAN_D4,LOCO_EVIDENCE,Poly,evidence,False,5,"201,202,203,204,205",0.2404187515071136,0.009329832167313097,0.14809872930343945,0.005445768458552622,0.6388888888888887,0.029257464490195683,0.25806451612903225,-0.017645764621918664,0.24120000150711357,-0.0007812499999999833,"{""201"": 0.24389367816091956, ""202"": 0.24348958333333334, ""203"": 0.24609375, ""204"": 0.24479166666666666, ""205"": 0.22382507937464835}","{""201"": -0.014170837968112693, ""202"": -0.014574932795698908, ""203"": -0.011970766129032251, ""204"": -0.013272849462365593, ""205"": -0.0342394367543839}",5,0
RAW_UOT_PLAN_D4,LOCO_NOVELTY,Celer,novelty,False,5,"201,202,203,204,205",0.2359349200636974,0.008150513432020534,0.14802197068229678,0.005640981799036006,0.6083333333333332,0.03157622928997129,0.243631100082713,-0.007696180019015592,0.23793016907999992,-0.0019952490163025194,"{""201"": 0.24004302323094037, ""202"": 0.24158575267591073, ""203"": 0.24076954718205412, ""204"": 0.22204058613002578, ""205"": 0.23523569109955603}","{""201"": -0.001323808861698167, ""202"": 0.010971608755315193, ""203"": -0.01729496894697813, ""204"": -0.01932624596261276, ""205"": -0.011507485079104013}",4,1
RAW_UOT_PLAN_D4,LOCO_NOVELTY,Multi,novelty,False,5,"201,202,203,204,205",0.17569754381149189,0.008024135382837605,0.11062561317483857,0.004970588692000179,0.43194444444444446,0.021488539509396963,0.21058906893584312,-0.03489152512435123,0.18246902604133752,-0.006771482229845638,"{""201"": 0.17693684574866553, ""202"": 0.1824576283210877, ""203"": 0.17534886724855084, ""204"": 0.16236103419490053, ""205"": 0.1813833435442549}","{""201"": -0.026616992885818286, ""202"": -0.045012299451259424, ""203"": -0.038800222908603826, ""204"": -0.024906335532146606, ""205"": -0.03912177484392801}",5,0
RAW_UOT_PLAN_D4,LOCO_NOVELTY,Poly,novelty,False,5,"201,202,203,204,205",0.24038347727464107,0.009172439352194105,0.14807300967814463,0.005367384347528085,0.6388888888888887,0.028527216536727407,0.25806451612903225,-0.01768103885439118,0.24120000150711357,-0.0008165242324724986,"{""201"": 0.23998742816091956, ""202"": 0.24348958333333334, ""203"": 0.24479166666666666, ""204"": 0.24869791666666666, ""205"": 0.22495079154561912}","{""201"": -0.018077087968112693, ""202"": -0.014574932795698908, ""203"": -0.013272849462365593, ""204"": -0.009366599462365593, ""205"": -0.033113724583413134}",5,0
RAW_UOT_PLAN_D4,LOCO_RISK,Celer,risk,False,5,"201,202,203,204,205",0.23947110244254471,0.00788009456773692,0.1496650712411582,0.005960470220947689,0.6194444444444442,0.02805847757060681,0.243631100082713,-0.004159997640168278,0.23793016907999992,0.001540933362544794,"{""201"": 0.2434762583426029, ""202"": 0.2457124612297026, ""203"": 0.24597788051538746, ""204"": 0.22878002759626748, ""205"": 0.2334088845287631}","{""201"": 0.0021094262499643524, ""202"": 0.015098317309107073, ""203"": -0.012086635613644786, ""204"": -0.012586804496371062, ""205"": -0.01333429164989694}",3,2
RAW_UOT_PLAN_D4,LOCO_RISK,Multi,risk,False,5,"201,202,203,204,205",0.18062433826833751,0.006044975914321547,0.11352686948401407,0.003685952236112746,0.44652777777777775,0.01729152721942878,0.21058906893584312,-0.0299647306675056,0.18246902604133752,-0.0018446877730000089,"{""201"": 0.17857124338122085, ""202"": 0.1883817685034894, ""203"": 0.17721331520199476, ""204"": 0.17366780718131758, ""205"": 0.18528755707366504}","{""201"": -0.024982595253262962, ""202"": -0.039088159268857725, ""203"": -0.0369357749551599, ""204"": -0.013599562545729554, ""205"": -0.035217561314517865}",5,0
RAW_UOT_PLAN_D4,LOCO_RISK,Poly,risk,False,5,"201,202,203,204,205",0.24112535393246598,0.009245132770574658,0.14852033409286033,0.0054230442965902,0.6409722222222222,0.028590540069776266,0.25806451612903225,-0.01693916219656627,0.24120000150711357,-7.464757464759053e-05,"{""201"": 0.24389367816091956, ""202"": 0.24479166666666666, ""203"": 0.24739583333333334, ""204"": 0.24479166666666666, ""205"": 0.2247539248347438}","{""201"": -0.014170837968112693, ""202"": -0.013272849462365593, ""203"": -0.010668682795698908, ""204"": -0.013272849462365593, ""205"": -0.033310591294288455}",5,0
RAW_UOT_PLAN_D4,LOCO_ROUTE,Celer,route,False,5,"201,202,203,204,205",0.23665164690160462,0.006636461299949975,0.1481201795386578,0.00583683700248577,0.611111111111111,0.024429248749080368,0.243631100082713,-0.006979453181108375,0.23793016907999992,-0.0012785221783953027,"{""201"": 0.2395700083426029, ""202"": 0.24299426427659188, ""203"": 0.24113163932146828, ""204"": 0.22723681771972423, ""205"": 0.2323255048476359}","{""201"": -0.0017968237500356476, ""202"": 0.012380120355996338, ""203"": -0.016932876807563974, ""204"": -0.014130014372914307, ""205"": -0.014417671331024146}",4,1
RAW_UOT_PLAN_D4,LOCO_ROUTE,Multi,route,False,5,"201,202,203,204,205",0.175967202471915,0.006893921177915438,0.11095087107287074,0.004046718964958075,0.4298611111111111,0.022287231299835016,0.21058906893584312,-0.03462186646392812,0.18246902604133752,-0.006501823569422527,"{""201"": 0.1759467157297535, ""202"": 0.178710918387237, ""203"": 0.17530434952686527, ""204"": 0.16544980583872174, ""205"": 0.18442422287699753}","{""201"": -0.027607122904730302, ""202"": -0.04875900938511013, ""203"": -0.03884474063028939, ""204"": -0.021817563888325398, ""205"": -0.036080895511185374}",5,0
RAW_UOT_PLAN_D4,LOCO_ROUTE,Poly,route,False,5,"201,202,203,204,205",0.2404293744649348,0.009337573332612563,0.14815264019255775,0.005344295529019126,0.6381944444444444,0.0309008270295652,0.25806451612903225,-0.017635141664097465,0.24120000150711357,-0.0007706270421787842,"{""201"": 0.24259159482758622, ""202"": 0.24479166666666666, ""203"": 0.24609375, ""204"": 0.24479166666666666, ""205"": 0.2238781941637545}","{""201"": -0.015472921301446035, ""202"": -0.013272849462365593, ""203"": -0.011970766129032251, ""204"": -0.013272849462365593, ""205"": -0.03418632196527774}",5,0
RAW_UOT_PLAN_D4,LOCO_TIME,Celer,time,False,5,"201,202,203,204,205",0.13513652138388363,0.007735507196224789,0.09104270951506707,0.015811037623997402,0.3263888888888889,0.014934592477504569,0.243631100082713,-0.10849457869882936,0.23793016907999992,-0.10279364769611629,"{""201"": 0.1349688168903487, ""202"": 0.12235134045015394, ""203"": 0.13705109658102088, ""204"": 0.14303007805220913, ""205"": 0.13828127494568557}","{""201"": -0.10639801520228984, ""202"": -0.1082628034704416, ""203"": -0.12101341954801137, ""204"": -0.09833675404042941, ""205"": -0.10846190123297447}",5,0
RAW_UOT_PLAN_D4,LOCO_TIME,Multi,time,False,5,"201,202,203,204,205",0.1340618931296686,0.000556620695317949,0.08395674774491615,0.00045912214432811355,0.3347222222222222,0.003105649968749697,0.21058906893584312,-0.07652717580617452,0.18246902604133752,-0.048407132911668926,"{""201"": 0.13392760791242084, ""202"": 0.13337653505803984, ""203"": 0.1339524671143136, ""204"": 0.13413399992278485, ""205"": 0.13491885564078387}","{""201"": -0.06962623072206298, ""202"": -0.09409339271430728, ""203"": -0.08019662304284106, ""204"": -0.05313336980426228, ""205"": -0.08558626274739903}",5,0
RAW_UOT_PLAN_D4,LOCO_TIME,Poly,time,False,5,"201,202,203,204,205",0.13413556474385774,0.0022645255202164887,0.083946111538973,0.001647432360497993,0.3361111111111111,0.00380362887156364,0.25806451612903225,-0.12392895138517451,0.24120000150711357,-0.10706443676325583,"{""201"": 0.1366674718418009, ""202"": 0.1346872466322318, ""203"": 0.1325447524459158, ""204"": 0.13564223232222397, ""205"": 0.13113612047711617}","{""201"": -0.12139704428723136, ""202"": -0.12337726949680045, ""203"": -0.12551976368311646, ""204"": -0.12242228380680828, ""205"": -0.12692839565191608}",5,0
