method,pair_precision,pair_recall,pair_f1,top1_recall,top3_recall,flow_level_recall,flow_pair_cvr,tx_level_cvr,coverage,abstention_rate,n_predicted_pairs,n_abstained,n_true_positive,n_false_positive,n_ground_truth_pairs,n_unrecovered_gt,median_flow_delay_sec,median_tx_delay_sec,flow_mass_recall
raw_argmax_fixed_delay,0.5886787280701754,0.5886787280701754,0.5886787280701754,0.5886787280701754,0.6583059210526315,0.6495339912280702,0.3334703947368421,0.33813048245614036,1.0,0.0,7296,0,4295,3001,7296,3001,237.0,166.0,0.05966364387926916
flow_time_admissible_filter,0.8831996709849886,0.5886787280701754,0.7064725717575459,0.5886787280701754,0.6583059210526315,0.9745013366234835,0.0,0.006991568990335184,0.8453038674033149,0.3334703947368421,4863,2433,4295,568,7296,3001,989.0,196.0,0.05966364387926916
tx_time_admissible_filter,0.8894180989852971,0.5886787280701754,0.7084536082474227,0.5886787280701754,0.6583059210526315,0.9813626009525782,0.0,0.0,0.8453038674033149,0.33813048245614036,4829,2467,4295,534,7296,3001,992.0,196.0,0.05966364387926916
joint_time_admissible_filter,0.8894180989852971,0.5886787280701754,0.7084536082474227,0.5886787280701754,0.6583059210526315,0.9813626009525782,0.0,0.0,0.8453038674033149,0.33813048245614036,4829,2467,4295,534,7296,3001,992.0,196.0,0.05966364387926916
positive_delay_top3_rescue,0.5900851414446581,0.588952850877193,0.5895184524626149,0.588952850877193,0.6583059210526315,0.6510574018126888,0.0,0.004669046965119473,0.996316758747698,0.001918859649122807,7282,14,4297,2985,7296,2999,1581.0,227.0,0.05966364387926916
positive_delay_top5_rescue,0.5900851414446581,0.588952850877193,0.5895184524626149,0.588952850877193,0.6583059210526315,0.6510574018126888,0.0,0.004669046965119473,0.996316758747698,0.001918859649122807,7282,14,4297,2985,7296,2999,1581.0,227.0,0.05966364387926916
positive_delay_top10_rescue,0.5899794097460536,0.5890899122807017,0.5895343254920788,0.5890899122807017,0.6583059210526315,0.650926561427591,0.0,0.004667124227865477,0.9972375690607734,0.0015076754385964911,7285,11,4298,2987,7296,2998,1582.0,227.0,0.05966364387926916
permuted_gt_control,0.00013706140350877192,0.00013706140350877192,0.00013706140350877192,0.00013706140350877192,0.0015076754385964911,0.00027412280701754384,0.3334703947368421,0.33813048245614036,1.0,0.0,7296,0,1,7295,7296,7295,237.0,166.0,0.00014654828177220974
