grid,n,m,arm,repeat,status,wall_s,peak_rss_mb,n_edges,solver
50x200,50,200,BALANCED_OT,2,OK,3.105,320.863,239,"{""converged"": true, ""final_err"": 3.525533270999917e-12}"
50x200,50,200,BALANCED_OT,3,OK,3.153,320.355,239,"{""converged"": true, ""final_err"": 3.525533270999917e-12}"
50x200,50,200,BALANCED_OT,median,MEDIAN,3.153,320.758,239,
50x200,50,200,THRESHOLD_MM,1,OK,0.0005,33.867,368,{}
50x200,50,200,THRESHOLD_MM,2,OK,0.0005,33.766,368,{}
50x200,50,200,THRESHOLD_MM,3,OK,0.0005,33.891,368,{}
50x200,50,200,THRESHOLD_MM,median,MEDIAN,0.0005,33.867,368,
50x200,50,200,ONETOONE_CTRL,1,OK,0.0003,33.812,50,{}
50x200,50,200,ONETOONE_CTRL,2,OK,0.0004,33.711,50,{}
50x200,50,200,ONETOONE_CTRL,3,OK,0.0003,33.785,50,{}
50x200,50,200,ONETOONE_CTRL,median,MEDIAN,0.0003,33.785,50,
100x50,100,50,EC_UOT_Q,1,OK,3.0522,320.723,190,"{""converged"": true, ""final_err"": 9.493841529979018e-12, ""n_iter"": null}"
100x50,100,50,EC_UOT_Q,2,OK,3.0448,320.27,190,"{""converged"": true, ""final_err"": 9.493841529979018e-12, ""n_iter"": null}"
100x50,100,50,EC_UOT_Q,3,OK,3.0856,319.691,190,"{""converged"": true, ""final_err"": 9.493841529979018e-12, ""n_iter"": null}"
100x50,100,50,EC_UOT_Q,median,MEDIAN,3.0522,320.27,190,
100x50,100,50,BALANCED_OT,1,OK,3.1618,320.766,185,"{""converged"": true, ""final_err"": 5.572361299996917e-12}"
100x50,100,50,BALANCED_OT,2,OK,3.1253,320.141,185,"{""converged"": true, ""final_err"": 5.572361299996917e-12}"
100x50,100,50,BALANCED_OT,3,OK,2.9894,320.84,185,"{""converged"": true, ""final_err"": 5.572361299996917e-12}"
100x50,100,50,BALANCED_OT,median,MEDIAN,3.1253,320.766,185,
100x50,100,50,THRESHOLD_MM,1,OK,0.0003,33.637,207,{}
100x50,100,50,THRESHOLD_MM,2,OK,0.0003,33.602,207,{}
100x50,100,50,THRESHOLD_MM,3,OK,0.0003,33.566,207,{}
100x50,100,50,THRESHOLD_MM,median,MEDIAN,0.0003,33.602,207,
100x50,100,50,ONETOONE_CTRL,1,OK,0.0002,33.668,71,{}
100x50,100,50,ONETOONE_CTRL,2,OK,0.0001,33.703,71,{}
100x50,100,50,ONETOONE_CTRL,3,OK,0.0002,33.535,71,{}
100x50,100,50,ONETOONE_CTRL,median,MEDIAN,0.0002,33.668,71,
100x100,100,100,EC_UOT_Q,1,OK,3.1036,320.238,309,"{""converged"": true, ""final_err"": 8.579067947334263e-12, ""n_iter"": null}"
100x100,100,100,EC_UOT_Q,2,OK,3.0936,320.711,309,"{""converged"": true, ""final_err"": 8.579067947334263e-12, ""n_iter"": null}"
100x100,100,100,EC_UOT_Q,3,OK,3.3237,321.008,309,"{""converged"": true, ""final_err"": 8.579067947334263e-12, ""n_iter"": null}"
100x100,100,100,EC_UOT_Q,median,MEDIAN,3.1036,320.711,309,
100x100,100,100,BALANCED_OT,1,OK,3.1373,320.176,307,"{""converged"": true, ""final_err"": 2.3812689226202472e-12}"
100x100,100,100,BALANCED_OT,2,OK,3.1661,320.934,307,"{""converged"": true, ""final_err"": 2.3812689226202472e-12}"
100x100,100,100,BALANCED_OT,3,OK,3.2007,320.051,307,"{""converged"": true, ""final_err"": 2.3812689226202472e-12}"
100x100,100,100,BALANCED_OT,median,MEDIAN,3.1661,320.176,307,
100x100,100,100,THRESHOLD_MM,1,OK,0.0005,33.859,409,{}
100x100,100,100,THRESHOLD_MM,2,OK,0.0006,33.84,409,{}
100x100,100,100,THRESHOLD_MM,3,OK,0.0005,33.77,409,{}
100x100,100,100,THRESHOLD_MM,median,MEDIAN,0.0005,33.84,409,
100x100,100,100,ONETOONE_CTRL,1,OK,0.0002,33.746,90,{}
100x100,100,100,ONETOONE_CTRL,2,OK,0.0003,33.73,90,{}
100x100,100,100,ONETOONE_CTRL,3,OK,0.0003,33.707,90,{}
100x100,100,100,ONETOONE_CTRL,median,MEDIAN,0.0003,33.73,90,
100x200,100,200,EC_UOT_Q,1,OK,3.1166,320.598,429,"{""converged"": true, ""final_err"": 8.43244554200173e-12, ""n_iter"": null}"
100x200,100,200,EC_UOT_Q,2,OK,3.0322,320.57,429,"{""converged"": true, ""final_err"": 8.43244554200173e-12, ""n_iter"": null}"
100x200,100,200,EC_UOT_Q,3,OK,2.9786,320.535,429,"{""converged"": true, ""final_err"": 8.43244554200173e-12, ""n_iter"": null}"
100x200,100,200,EC_UOT_Q,median,MEDIAN,3.0322,320.57,429,
100x200,100,200,BALANCED_OT,1,OK,2.8998,321.062,437,"{""converged"": true, ""final_err"": 3.8335990248031306e-12}"
100x200,100,200,BALANCED_OT,2,OK,3.0708,321.133,437,"{""converged"": true, ""final_err"": 3.8335990248031306e-12}"
100x200,100,200,BALANCED_OT,3,OK,3.0273,320.969,437,"{""converged"": true, ""final_err"": 3.8335990248031306e-12}"
100x200,100,200,BALANCED_OT,median,MEDIAN,3.0273,321.062,437,
100x200,100,200,THRESHOLD_MM,1,OK,0.0012,34.188,778,{}
100x200,100,200,THRESHOLD_MM,2,OK,0.0009,34.141,778,{}
100x200,100,200,THRESHOLD_MM,3,OK,0.0009,34.215,778,{}
100x200,100,200,THRESHOLD_MM,median,MEDIAN,0.0009,34.188,778,
100x200,100,200,ONETOONE_CTRL,1,OK,0.0005,34.234,100,{}
100x200,100,200,ONETOONE_CTRL,2,OK,0.0005,34.16,100,{}
100x200,100,200,ONETOONE_CTRL,3,OK,0.0005,34.164,100,{}
100x200,100,200,ONETOONE_CTRL,median,MEDIAN,0.0005,34.164,100,
200x50,200,50,EC_UOT_Q,1,OK,3.1386,320.684,235,"{""converged"": true, ""final_err"": 9.151271658995026e-12, ""n_iter"": null}"
200x50,200,50,EC_UOT_Q,2,OK,3.0405,320.961,235,"{""converged"": true, ""final_err"": 9.151271658995026e-12, ""n_iter"": null}"
200x50,200,50,EC_UOT_Q,3,OK,3.0554,320.398,235,"{""converged"": true, ""final_err"": 9.151271658995026e-12, ""n_iter"": null}"
200x50,200,50,EC_UOT_Q,median,MEDIAN,3.0554,320.684,235,
200x50,200,50,BALANCED_OT,1,OK,3.1839,320.598,233,"{""converged"": true, ""final_err"": 5.781321057569281e-12}"
200x50,200,50,BALANCED_OT,2,OK,3.163,320.809,233,"{""converged"": true, ""final_err"": 5.781321057569281e-12}"
200x50,200,50,BALANCED_OT,3,OK,3.1133,320.848,233,"{""converged"": true, ""final_err"": 5.781321057569281e-12}"
200x50,200,50,BALANCED_OT,median,MEDIAN,3.163,320.809,233,
200x50,200,50,THRESHOLD_MM,1,OK,0.0005,33.887,388,{}
200x50,200,50,THRESHOLD_MM,2,OK,0.0004,33.777,388,{}
200x50,200,50,THRESHOLD_MM,3,OK,0.0005,33.766,388,{}
200x50,200,50,THRESHOLD_MM,median,MEDIAN,0.0005,33.777,388,
200x50,200,50,ONETOONE_CTRL,1,OK,0.0003,33.887,135,{}
200x50,200,50,ONETOONE_CTRL,2,OK,0.0003,33.941,135,{}
200x50,200,50,ONETOONE_CTRL,3,OK,0.0003,33.797,135,{}
200x50,200,50,ONETOONE_CTRL,median,MEDIAN,0.0003,33.887,135,
200x100,200,100,EC_UOT_Q,1,OK,3.1407,321.344,421,"{""converged"": true, ""final_err"": 8.516727877720263e-12, ""n_iter"": null}"
200x100,200,100,EC_UOT_Q,2,OK,3.1101,321.094,421,"{""converged"": true, ""final_err"": 8.516727877720263e-12, ""n_iter"": null}"
200x100,200,100,EC_UOT_Q,3,OK,3.0596,321.262,421,"{""converged"": true, ""final_err"": 8.516727877720263e-12, ""n_iter"": null}"
200x100,200,100,EC_UOT_Q,median,MEDIAN,3.1101,321.262,421,
200x100,200,100,BALANCED_OT,1,OK,3.1555,321.438,413,"{""converged"": true, ""final_err"": 7.813491381188883e-12}"
200x100,200,100,BALANCED_OT,2,OK,3.1285,320.688,413,"{""converged"": true, ""final_err"": 7.813491381188883e-12}"
200x100,200,100,BALANCED_OT,3,OK,3.1924,320.531,413,"{""converged"": true, ""final_err"": 7.813491381188883e-12}"
200x100,200,100,BALANCED_OT,median,MEDIAN,3.1555,320.688,413,
200x100,200,100,THRESHOLD_MM,1,OK,0.0009,34.238,769,{}
200x100,200,100,THRESHOLD_MM,2,OK,0.0009,34.078,769,{}
200x100,200,100,THRESHOLD_MM,3,OK,0.0009,34.125,769,{}
200x100,200,100,THRESHOLD_MM,median,MEDIAN,0.0009,34.125,769,
200x100,200,100,ONETOONE_CTRL,1,OK,0.0005,34.191,180,{}
200x100,200,100,ONETOONE_CTRL,2,OK,0.0006,34.242,180,{}
200x100,200,100,ONETOONE_CTRL,3,OK,0.0005,34.07,180,{}
200x100,200,100,ONETOONE_CTRL,median,MEDIAN,0.0005,34.191,180,
