bridge,seed,k,epsilon,lambda,method,template_id,edge_precision,edge_recall,edge_f1,edge_tp,edge_fp,edge_fn,split_edge_f1,merge_edge_f1,overall_exact
Celer,201,2,0.05,0.5,CONDITIONAL_UOT_D4,eth_flow_538d7e0678fc4a,0.5,0.3333333333333333,0.4,2,2,4,0.6666666666666666,0.0,0
Celer,201,2,0.05,0.5,CONDITIONAL_UOT_D4,eth_flow_5bba65739fe240,0.5,0.3333333333333333,0.4,2,2,4,0.6666666666666666,0.0,0
Celer,201,2,0.05,0.5,CONDITIONAL_UOT_D4,eth_flow_5f77f9d7f76948,0.5,0.3333333333333333,0.4,2,2,4,0.6666666666666666,0.0,0
Celer,201,2,0.05,0.5,CONDITIONAL_UOT_D4,eth_flow_638a9b7fc0294d,0.5,0.3333333333333333,0.4,2,2,4,0.6666666666666666,0.0,0
Celer,201,2,0.05,0.5,CONDITIONAL_UOT_D4,eth_flow_688fff15e8e443,0.5,0.3333333333333333,0.4,2,2,4,0.6666666666666666,0.0,0
Celer,201,2,0.05,0.5,CONDITIONAL_UOT_D4,eth_flow_8308c3c6fac648,0.5,0.3333333333333333,0.4,2,2,4,0.6666666666666666,0.0,0
Celer,201,2,0.05,0.5,CONDITIONAL_UOT_D4,eth_flow_883e1929c5ca45,0.5,0.3333333333333333,0.4,2,2,4,0.6666666666666666,0.0,0
Celer,201,2,0.05,0.5,CONDITIONAL_UOT_D4,eth_flow_8973a173b61f42,0.5,0.3333333333333333,0.4,2,2,4,0.6666666666666666,0.0,0
Celer,201,2,0.05,0.5,CONDITIONAL_UOT_D4,eth_flow_8a83e53b29574f,0.5,0.3333333333333333,0.4,2,2,4,0.6666666666666666,0.0,0
Celer,201,2,0.05,0.5,CONDITIONAL_UOT_D4,eth_flow_8a9f4cf5e7814d,0.5,0.3333333333333333,0.4,2,2,4,0.6666666666666666,0.0,0
Celer,201,2,0.05,0.5,CONDITIONAL_UOT_D4,eth_flow_92643393c27740,0.0,0.0,0.0,0,4,6,0.0,0.0,0
Celer,201,2,0.05,0.5,CONDITIONAL_UOT_D4,eth_flow_93962439b14747,0.5,0.3333333333333333,0.4,2,2,4,0.6666666666666666,0.0,0
Celer,201,2,0.05,0.5,CONDITIONAL_UOT_D4,eth_flow_9cf93decbc9943,0.5,0.3333333333333333,0.4,2,2,4,0.6666666666666666,0.0,0
Celer,201,2,0.05,0.5,CONDITIONAL_UOT_D4,eth_flow_a013a0082aa14f,0.5,0.3333333333333333,0.4,2,2,4,0.6666666666666666,0.0,0
Celer,201,2,0.05,0.5,CONDITIONAL_UOT_D4,eth_flow_a112ab48d6f142,0.5,0.3333333333333333,0.4,2,2,4,0.6666666666666666,0.0,0
