bridge,seed,k,epsilon,lambda,method,precision,recall,macro_edge_f1,micro_edge_f1,n_pred_edges,n_templates,tp_total,fp_total,fn_total,solver_iterations,solver_converged,solver_final_residual,mass_retained_fraction,cost_matrix_sha256,plan_sha256,solver_run_id,support_violations
Celer,201,7,0.05,0.5,CONDITIONAL_UOT_D4,0.16600975975975973,1.0,0.2847452934662236,0.2847256549678695,1735,48,288,1447,0,131,True,8.959816442786158e-12,0.7247254219405795,99df17ae7a2830918bea2515e656e63e839e7c9ce07d1ab39f694183f6180650,2cb6b6592e438ca82845aa95e25c186df240ef86b2db262f52f3805c5498bf90,unit__Celer__s201__99df17ae7a28,0
Celer,201,7,0.05,0.5,RAW_UOT_PLAN_D4,0.1554054054054054,0.9305555555555557,0.2662144702842377,0.28136482939632546,1617,48,268,1349,20,131,True,8.959816442786158e-12,0.7247254219405795,99df17ae7a2830918bea2515e656e63e839e7c9ce07d1ab39f694183f6180650,2cb6b6592e438ca82845aa95e25c186df240ef86b2db262f52f3805c5498bf90,unit__Celer__s201__99df17ae7a28,0
Celer,201,7,0.05,0.5,SUPPORT_PLUS_K_D4,0.15859609609609607,0.9583333333333334,0.2721483942414175,0.2822085889570552,1668,48,276,1392,12,131,True,8.959816442786158e-12,0.7247254219405795,99df17ae7a2830918bea2515e656e63e839e7c9ce07d1ab39f694183f6180650,2cb6b6592e438ca82845aa95e25c186df240ef86b2db262f52f3805c5498bf90,unit__Celer__s201__99df17ae7a28,0
Celer,201,10,0.05,0.5,AMOUNT_FREE_COST_D4,0.1517094017094017,1.0,0.26272577996715923,0.2571428571428571,1952,48,288,1664,0,131,True,8.959816442786158e-12,0.7247254219405795,99df17ae7a2830918bea2515e656e63e839e7c9ce07d1ab39f694183f6180650,2cb6b6592e438ca82845aa95e25c186df240ef86b2db262f52f3805c5498bf90,unit__Celer__s201__99df17ae7a28,0
Celer,201,10,0.05,0.5,CONDITIONAL_UOT_D4,0.15918803418803418,1.0,0.27422003284072244,0.2706766917293233,1840,48,288,1552,0,131,True,8.959816442786158e-12,0.7247254219405795,99df17ae7a2830918bea2515e656e63e839e7c9ce07d1ab39f694183f6180650,2cb6b6592e438ca82845aa95e25c186df240ef86b2db262f52f3805c5498bf90,unit__Celer__s201__99df17ae7a28,0
Celer,201,10,0.05,0.5,RAW_UOT_PLAN_D4,0.1466346153846154,0.9305555555555557,0.25268199233716476,0.2627450980392157,1752,48,268,1484,20,131,True,8.959816442786158e-12,0.7247254219405795,99df17ae7a2830918bea2515e656e63e839e7c9ce07d1ab39f694183f6180650,2cb6b6592e438ca82845aa95e25c186df240ef86b2db262f52f3805c5498bf90,unit__Celer__s201__99df17ae7a28,0
Celer,201,10,0.05,0.5,SUPPORT_PLUS_K_D4,0.14673000610500608,0.9583333333333334,0.25382700354891674,0.25794392523364484,1852,48,276,1576,12,131,True,8.959816442786158e-12,0.7247254219405795,99df17ae7a2830918bea2515e656e63e839e7c9ce07d1ab39f694183f6180650,2cb6b6592e438ca82845aa95e25c186df240ef86b2db262f52f3805c5498bf90,unit__Celer__s201__99df17ae7a28,0
Celer,201,15,0.05,0.5,AMOUNT_FREE_COST_D4,0.13506393298059963,1.0,0.23559538053775309,0.21333333333333335,2412,48,288,2124,0,131,True,8.959816442786158e-12,0.7247254219405795,99df17ae7a2830918bea2515e656e63e839e7c9ce07d1ab39f694183f6180650,2cb6b6592e438ca82845aa95e25c186df240ef86b2db262f52f3805c5498bf90,unit__Celer__s201__99df17ae7a28,0
Celer,201,15,0.05,0.5,CONDITIONAL_UOT_D4,0.1524856701940035,1.0,0.2632217974117336,0.24806201550387597,2034,48,288,1746,0,131,True,8.959816442786158e-12,0.7247254219405795,99df17ae7a2830918bea2515e656e63e839e7c9ce07d1ab39f694183f6180650,2cb6b6592e438ca82845aa95e25c186df240ef86b2db262f52f3805c5498bf90,unit__Celer__s201__99df17ae7a28,0
Celer,201,15,0.05,0.5,RAW_UOT_PLAN_D4,0.1419442520267992,0.9479166666666666,0.24507374364751677,0.23936869793950022,1993,48,273,1720,15,131,True,8.959816442786158e-12,0.7247254219405795,99df17ae7a2830918bea2515e656e63e839e7c9ce07d1ab39f694183f6180650,2cb6b6592e438ca82845aa95e25c186df240ef86b2db262f52f3805c5498bf90,unit__Celer__s201__99df17ae7a28,0
Celer,201,15,0.05,0.5,SUPPORT_PLUS_K_D4,0.12956194371107319,0.9583333333333334,0.22606451751690118,0.2132921174652241,2300,48,276,2024,12,131,True,8.959816442786158e-12,0.7247254219405795,99df17ae7a2830918bea2515e656e63e839e7c9ce07d1ab39f694183f6180650,2cb6b6592e438ca82845aa95e25c186df240ef86b2db262f52f3805c5498bf90,unit__Celer__s201__99df17ae7a28,0
Celer,202,2,0.05,0.5,AMOUNT_FREE_COST_D4,0.5,0.3333333333333333,0.39999999999999997,0.4,192,48,96,96,192,129,True,9.213377826959381e-12,0.7868493050223937,2b4576b33c880c17b594d8a81ec868c2b2b093b86d4d78a1d74a487d79d1f662,d39aa1f9ea94fe35d3c12c1fa5713b02fdc7a0cea7f71cedc12bbbbeee36336a,unit__Celer__s202__2b4576b33c88,0
Celer,202,2,0.05,0.5,CONDITIONAL_UOT_D4,0.4322916666666667,0.2881944444444444,0.3458333333333334,0.3458333333333333,192,48,83,109,205,129,True,9.213377826959381e-12,0.7868493050223937,2b4576b33c880c17b594d8a81ec868c2b2b093b86d4d78a1d74a487d79d1f662,d39aa1f9ea94fe35d3c12c1fa5713b02fdc7a0cea7f71cedc12bbbbeee36336a,unit__Celer__s202__2b4576b33c88,0
Celer,202,2,0.05,0.5,RAW_UOT_PLAN_D4,0.0,0.0,0.0,0.0,172,48,0,172,288,129,True,9.213377826959381e-12,0.7868493050223937,2b4576b33c880c17b594d8a81ec868c2b2b093b86d4d78a1d74a487d79d1f662,d39aa1f9ea94fe35d3c12c1fa5713b02fdc7a0cea7f71cedc12bbbbeee36336a,unit__Celer__s202__2b4576b33c88,0
Celer,202,2,0.05,0.5,SUPPORT_PLUS_K_D4,0.4375,0.2951388888888889,0.3520833333333333,0.36796536796536794,174,48,85,89,203,129,True,9.213377826959381e-12,0.7868493050223937,2b4576b33c880c17b594d8a81ec868c2b2b093b86d4d78a1d74a487d79d1f662,d39aa1f9ea94fe35d3c12c1fa5713b02fdc7a0cea7f71cedc12bbbbeee36336a,unit__Celer__s202__2b4576b33c88,0
Celer,202,3,0.05,0.5,AMOUNT_FREE_COST_D4,0.4444444444444445,0.6666666666666666,0.5333333333333333,0.5333333333333333,432,48,192,240,96,129,True,9.213377826959381e-12,0.7868493050223937,2b4576b33c880c17b594d8a81ec868c2b2b093b86d4d78a1d74a487d79d1f662,d39aa1f9ea94fe35d3c12c1fa5713b02fdc7a0cea7f71cedc12bbbbeee36336a,unit__Celer__s202__2b4576b33c88,0
Celer,202,3,0.05,0.5,CONDITIONAL_UOT_D4,0.3842592592592593,0.5763888888888888,0.4611111111111111,0.46111111111111114,432,48,166,266,122,129,True,9.213377826959381e-12,0.7868493050223937,2b4576b33c880c17b594d8a81ec868c2b2b093b86d4d78a1d74a487d79d1f662,d39aa1f9ea94fe35d3c12c1fa5713b02fdc7a0cea7f71cedc12bbbbeee36336a,unit__Celer__s202__2b4576b33c88,0
Celer,202,3,0.05,0.5,RAW_UOT_PLAN_D4,0.09953703703703705,0.14930555555555555,0.11944444444444442,0.1274074074074074,387,48,43,344,245,129,True,9.213377826959381e-12,0.7868493050223937,2b4576b33c880c17b594d8a81ec868c2b2b093b86d4d78a1d74a487d79d1f662,d39aa1f9ea94fe35d3c12c1fa5713b02fdc7a0cea7f71cedc12bbbbeee36336a,unit__Celer__s202__2b4576b33c88,0
