bridge,seed,template_id,truth_side,representation_side
Celer,412,eth_flow_c955f059044d47__r7fam04__inst01,1,1
Celer,412,eth_flow_c97781f7529449__r7fam13__inst01,1,1
Celer,412,eth_flow_d6251b89dc1d49__r7fam12__inst01,1,1
Celer,412,eth_flow_dd4d8606848e4e__r7fam10__inst00,1,1
Celer,412,eth_flow_ebb956da9bef4c__r7fam23__inst01,1,1
Celer,412,eth_flow_ecc04bb5ba2343__r7fam08__inst00,1,1
Celer,412,eth_flow_f2eccc861fe64d__r7fam21__inst00,1,1
Celer,412,eth_flow_f43f64618b794f__r7fam08__inst01,1,1
Celer,413,eth_flow_1b9f0c2564ca4d__r7fam04__inst01,1,1
Celer,413,eth_flow_1bd737892e9c42__r7fam06__inst00,1,1
Celer,413,eth_flow_20e4603e245545__r7fam20__inst01,1,1
Celer,413,eth_flow_20fe6e88c55740__r7fam17__inst00,1,1
Celer,413,eth_flow_2258ed735a2c41__r7fam07__inst01,1,1
Celer,413,eth_flow_2635cd99864f4f__r7fam21__inst01,1,1
Celer,413,eth_flow_292830487a2a47__r7fam18__inst00,1,1
Celer,413,eth_flow_2e9d9761d2ec4b__r7fam10__inst00,1,1
Celer,413,eth_flow_3006d955ae4842__r7fam09__inst01,1,1
Celer,413,eth_flow_32a0c06c64294c__r7fam14__inst00,1,1
Celer,413,eth_flow_35b297df13e14e__r7fam16__inst00,1,1
Celer,413,eth_flow_36ae96cc71134e__r7fam15__inst01,1,1
Celer,413,eth_flow_3ee8d51ff1c14e__r7fam06__inst01,1,1
Celer,413,eth_flow_4177c67ad5864b__r7fam11__inst00,1,1
Celer,413,eth_flow_44a4f67516ad47__r7fam05__inst00,1,1
Celer,413,eth_flow_44d5d5927f724e__r7fam11__inst01,1,1
Celer,413,eth_flow_4c507d60b66b45__r7fam14__inst01,1,1
Celer,413,eth_flow_4cc844cb430549__r7fam08__inst01,1,1
Celer,413,eth_flow_5ba63049fe6244__r7fam19__inst01,1,1
Celer,413,eth_flow_6d12a719b2da40__r7fam10__inst01,1,1
Celer,413,eth_flow_6e19f233511649__r7fam03__inst01,1,1
Celer,413,eth_flow_73803f29bda14a__r7fam23__inst00,1,1
Celer,413,eth_flow_7b692036387f48__r7fam22__inst00,1,1
Celer,413,eth_flow_86430808228749__r7fam16__inst01,1,1
Celer,413,eth_flow_86f3919a073042__r7fam01__inst00,1,1
Celer,413,eth_flow_9aa62594845d44__r7fam21__inst00,1,1
Celer,413,eth_flow_a0abd6d0af4241__r7fam23__inst01,1,1
Celer,413,eth_flow_a1f71590a6fc45__r7fam03__inst00,1,1
Celer,413,eth_flow_a9ac3b376bfc44__r7fam19__inst00,1,1
Celer,413,eth_flow_ae0ac6210eab4c__r7fam08__inst00,1,1
Celer,413,eth_flow_ae1c3c2f2b6447__r7fam04__inst00,1,1
Celer,413,eth_flow_b9f1beb284cb49__r7fam12__inst00,1,1
Celer,413,eth_flow_bad8c64a952040__r7fam01__inst01,1,1
