bridge,seed,method,n_pred_edges_total,split_exact,merge_exact,deg_acc_split,deg_acc_merge,edge_precision,edge_recall,edge_f1,coverage,n_pred_edges,edge_fp_total,edge_tp_total,edge_fn_total,n_edges_total
Multi,43,ABCTracer-style,288,0.0,0.0,0.0,0.0,0.027777777777777776,0.027777777777777776,0.027777777777777776,1.0,6.0,280,8,280,288
Multi,44,RC-UOT-Q,48968,0.0,0.0,0.0,0.0,0.013536915361422703,0.986111111111111,0.025149977551803888,1.0,1020.1666666666666,48684,284,4,48968
Multi,44,Threshold-MM,3872,0.0,0.0,0.0,0.0,0.06795676034694507,0.8055555555555557,0.12334628393385094,1.0,80.66666666666667,3640,232,56,3872
Multi,44,Balanced-OT,53664,0.0,0.0,0.0,0.0,0.007612778357826404,1.0,0.014973572114988018,1.0,1118.0,53376,288,0,53664
Multi,44,Connector-style,288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,288,0,288,288
Multi,44,ABCTracer-style,288,0.0,0.0,0.0,0.0,0.041666666666666664,0.041666666666666664,0.041666666666666664,1.0,6.0,276,12,276,288
Multi,45,RC-UOT-Q,50988,0.0,0.0,0.0,0.0,0.014285331838980604,1.0,0.026357365485722515,1.0,1062.25,50700,288,0,50988
Multi,45,Threshold-MM,3514,0.0,0.0,0.0,0.0,0.07731362155941927,0.8472222222222223,0.13990624315686326,1.0,73.20833333333333,3270,244,44,3514
Multi,45,Balanced-OT,57410,0.0,0.0,0.0,0.0,0.009556936791237992,1.0,0.01794441005711256,1.0,1196.0416666666667,57122,288,0,57410
Multi,45,Connector-style,288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,288,0,288,288
Multi,45,ABCTracer-style,288,0.0,0.0,0.0,0.0,0.03472222222222222,0.03472222222222222,0.03472222222222222,1.0,6.0,278,10,278,288
Multi,46,RC-UOT-Q,46538,0.0,0.0,0.0,0.0,0.008292583732180385,1.0,0.016340817307304484,1.0,969.5416666666666,46250,288,0,46538
Multi,46,Threshold-MM,3616,0.0,0.0,0.0,0.0,0.07297259269678905,0.8472222222222222,0.13320039680965867,1.0,75.33333333333333,3372,244,44,3616
Multi,46,Balanced-OT,53128,0.0,0.0,0.0,0.0,0.006093036657112001,1.0,0.012100359914259373,1.0,1106.8333333333333,52840,288,0,53128
Multi,46,Connector-style,288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,288,0,288,288
Multi,46,ABCTracer-style,288,0.0,0.0,0.0,0.0,0.027777777777777776,0.027777777777777776,0.027777777777777776,1.0,6.0,280,8,280,288
Poly,42,RC-UOT-Q,38750,0.0,0.0,0.0,0.0,0.014828144472738442,1.0,0.02884626049518306,1.0,807.2916666666666,38462,288,0,38750
Poly,42,Threshold-MM,5260,0.0,0.0,0.0,0.0,0.06618271910792556,1.0,0.12226754946849809,1.0,109.58333333333333,4972,288,0,5260
Poly,42,Balanced-OT,44524,0.0,0.0,0.0,0.0,0.01333621457168759,1.0,0.02589191085482918,1.0,927.5833333333334,44236,288,0,44524
Poly,42,Connector-style,288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,288,0,288,288
Poly,42,ABCTracer-style,288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,288,0,288,288
Poly,43,RC-UOT-Q,37298,0.0,0.0,0.0,0.0,0.013566682937404394,1.0,0.02650869941897338,1.0,777.0416666666666,37010,288,0,37298
Poly,43,Threshold-MM,6140,0.0,0.0,0.0,0.0,0.055139257276554804,1.0,0.10354557368518824,1.0,127.91666666666667,5852,288,0,6140
Poly,43,Balanced-OT,41972,0.0,0.0,0.0,0.0,0.011316994864589787,1.0,0.02218555808988389,1.0,874.4166666666666,41684,288,0,41972
Poly,43,Connector-style,288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,288,0,288,288
Poly,43,ABCTracer-style,288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,288,0,288,288
Poly,44,RC-UOT-Q,38276,0.0,0.0,0.0,0.0,0.0159803420544176,1.0,0.030793604610114548,1.0,797.4166666666666,37988,288,0,38276
Poly,44,Threshold-MM,5240,0.0,0.0,0.0,0.0,0.06480027005903481,0.986111111111111,0.12001133034327811,1.0,109.16666666666667,4956,284,4,5240
Poly,44,Balanced-OT,42150,0.0,0.0,0.0,0.0,0.012655033951353001,1.0,0.02471687002147793,1.0,878.125,41862,288,0,42150
Poly,44,Connector-style,288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,288,0,288,288
Poly,44,ABCTracer-style,288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,288,0,288,288
Poly,45,RC-UOT-Q,33786,0.0,0.0,0.0,0.0,0.022787710015602033,1.0,0.04304034245366591,1.0,703.875,33498,288,0,33786
Poly,45,Threshold-MM,5324,0.0,0.0,0.0,0.0,0.06633980375557212,1.0,0.12249675283410798,1.0,110.91666666666667,5036,288,0,5324
Poly,45,Balanced-OT,37394,0.0,0.0,0.0,0.0,0.014457863985112673,1.0,0.028080574343717208,1.0,779.0416666666666,37106,288,0,37394
Poly,45,Connector-style,288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,288,0,288,288
Poly,45,ABCTracer-style,288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,288,0,288,288
Poly,46,RC-UOT-Q,31786,0.0,0.0,0.0,0.0,0.020297576316248424,1.0,0.0390567768198249,1.0,662.2083333333334,31498,288,0,31786
Poly,46,Threshold-MM,5272,0.0,0.0,0.0,0.0,0.07045467791201791,1.0,0.12929834028091644,1.0,109.83333333333333,4984,288,0,5272
Poly,46,Balanced-OT,40064,0.0,0.0,0.0,0.0,0.01448490762321917,1.0,0.02812458975285274,1.0,834.6666666666666,39776,288,0,40064
Poly,46,Connector-style,288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,288,0,288,288
Poly,46,ABCTracer-style,288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,288,0,288,288
