bridge,seed,k,epsilon,lambda,method,delta_s_total,delta_t_total,delta_total,marginal_violation_row_l1,marginal_violation_col_l1,transport_mass_total,mass_retained_fraction,precision,recall,macro_edge_f1,sinkhorn_iterations,sinkhorn_converged,run_id
Multi,204,5.0,0.05,0.1,RAW_UOT_PLAN_D4,0.7680595208689003,0.7680595208689003,1.5361190417378006,0.7680595208689003,0.7680595208689003,0.2319404791310999,0.2319404791310999,0.12089285714285714,0.46875,0.18986886955636953,33,True,2026-09-17T03:14:55Z__pid29540
Multi,204,5.0,0.05,0.25,CONDITIONAL_UOT_D4,0.49686842477535953,0.4968684247753595,0.9937368495507191,0.49686842477535953,0.4968684247753595,0.5031315752246407,0.5031315752246407,0.17333333333333334,0.7118055555555557,0.2780577956989247,70,True,2026-09-17T03:14:55Z__pid29540
Multi,204,5.0,0.05,0.25,RAW_UOT_PLAN_D4,0.49686842477535953,0.4968684247753595,0.9937368495507191,0.49686842477535953,0.4968684247753595,0.5031315752246407,0.5031315752246407,0.11916666666666666,0.46875,0.18801141734609475,70,True,2026-09-17T03:14:55Z__pid29540
Multi,204,5.0,0.05,0.5,CONDITIONAL_UOT_D4,0.30659867417807013,0.30659867417807,0.6131973483561401,0.30659867417807013,0.30659867417807,0.6934013258219299,0.6934013258219299,0.1758333333333333,0.7083333333333334,0.2791575024437927,131,True,2026-09-17T03:14:53Z__pid29540
Multi,204,5.0,0.05,0.5,RAW_UOT_PLAN_D4,0.30659867417807013,0.30659867417807,0.6131973483561401,0.30659867417807013,0.30659867417807,0.6934013258219299,0.6934013258219299,0.118125,0.46875,0.18726736972704713,131,True,2026-09-17T03:14:53Z__pid29540
Multi,204,5.0,0.05,1.0,CONDITIONAL_UOT_D4,0.17264738758216444,0.1726473875821651,0.34529477516432955,0.17264738758216444,0.1726473875821651,0.8273526124178356,0.8273526124178356,0.17458333333333334,0.7118055555555557,0.279317876344086,249,True,2026-09-17T03:14:55Z__pid29540
Multi,204,5.0,0.05,1.0,RAW_UOT_PLAN_D4,0.17264738758216444,0.1726473875821651,0.34529477516432955,0.17264738758216444,0.1726473875821651,0.8273526124178356,0.8273526124178356,0.118125,0.46875,0.18726736972704713,249,True,2026-09-17T03:14:55Z__pid29540
Multi,204,5.0,0.05,2.0,CONDITIONAL_UOT_D4,0.0919817038204418,0.09198170382044152,0.18396340764088331,0.0919817038204418,0.09198170382044152,0.9080182961795583,0.9080182961795583,0.17375,0.7083333333333334,0.2779737903225806,478,True,2026-09-17T03:14:56Z__pid29540
Multi,204,5.0,0.05,2.0,RAW_UOT_PLAN_D4,0.0919817038204418,0.09198170382044152,0.18396340764088331,0.0919817038204418,0.09198170382044152,0.9080182961795583,0.9080182961795583,0.118125,0.46875,0.18726736972704713,478,True,2026-09-17T03:14:56Z__pid29540
Multi,205,5.0,0.05,0.1,CONDITIONAL_UOT_D4,0.8211140695419443,0.8211140695419443,1.6422281390838886,0.8211140695419443,0.8211140695419443,0.17888593045805565,0.17888593045805565,0.19083333333333333,0.7847222222222222,0.30628360215053757,33,True,2026-09-17T03:14:58Z__pid29540
