bridge,seed,k,epsilon,lambda,method,sinkhorn_iterations,sinkhorn_converged,sinkhorn_final_residual,sinkhorn_hit_max_iter,marginal_violation_row_l1,marginal_violation_col_l1,transport_mass_total,mass_retained_fraction,objective_cost,runtime_sec,run_id
Celer,201,5.0,0.01,0.5,CONDITIONAL_UOT_D4,628,True,9.9172472041281e-12,False,0.22330605029874467,0.22330756073578006,0.7766939497012555,0.7766939497012555,0.18133763850060747,0.35502980000455864,2026-09-17T03:14:30Z__pid29540
Celer,201,5.0,0.01,0.5,RAW_UOT_PLAN_D4,628,True,9.9172472041281e-12,False,0.22330605029874467,0.22330756073578006,0.7766939497012555,0.7766939497012555,0.18133763850060747,0.35502980000455864,2026-09-17T03:14:30Z__pid29540
Celer,201,5.0,0.02,0.5,CONDITIONAL_UOT_D4,319,True,9.767686064156851e-12,False,0.237233596390223,0.23723408093850443,0.7627664036097772,0.7627664036097772,0.17797473650057585,0.17820729999948526,2026-09-17T03:14:30Z__pid29540
Celer,201,5.0,0.02,0.5,RAW_UOT_PLAN_D4,319,True,9.767686064156851e-12,False,0.237233596390223,0.23723408093850443,0.7627664036097772,0.7627664036097772,0.17797473650057585,0.17820729999948526,2026-09-17T03:14:30Z__pid29540
Celer,201,5.0,0.05,0.5,CONDITIONAL_UOT_D4,131,True,8.959816442786158e-12,False,0.2752745780594206,0.2752745780594205,0.7247254219405795,0.7247254219405795,0.16956899379796564,0.15974940000160132,2026-09-17T03:14:29Z__pid29540
Celer,201,5.0,0.05,0.5,RAW_UOT_PLAN_D4,131,True,8.959816442786158e-12,False,0.2752745780594206,0.2752745780594205,0.7247254219405795,0.7247254219405795,0.16956899379796564,0.15974940000160132,2026-09-17T03:14:29Z__pid29540
Celer,201,5.0,0.1,0.5,CONDITIONAL_UOT_D4,69,True,7.415843379873427e-12,False,0.3205388516327069,0.32053885163270673,0.6794611483672932,0.6794611483672932,0.1919969538405541,0.11243249999824911,2026-09-17T03:14:30Z__pid29540
Celer,201,5.0,0.1,0.5,RAW_UOT_PLAN_D4,69,True,7.415843379873427e-12,False,0.3205388516327069,0.32053885163270673,0.6794611483672932,0.6794611483672932,0.1919969538405541,0.11243249999824911,2026-09-17T03:14:30Z__pid29540
Celer,201,5.0,0.2,0.5,CONDITIONAL_UOT_D4,37,True,9.095564204297272e-12,False,0.342583624084798,0.3425836240847979,0.6574163759152021,0.6574163759152021,0.27059288382454044,0.09673649999604095,2026-09-17T03:14:30Z__pid29540
Celer,201,5.0,0.2,0.5,RAW_UOT_PLAN_D4,37,True,9.095564204297272e-12,False,0.342583624084798,0.3425836240847979,0.6574163759152021,0.6574163759152021,0.27059288382454044,0.09673649999604095,2026-09-17T03:14:30Z__pid29540
Celer,202,5.0,0.01,0.5,CONDITIONAL_UOT_D4,624,True,9.909621522631704e-12,False,0.22002267949642879,0.2200226794964289,0.779977320503571,0.7799773205035713,0.1955834329162218,0.37726020000263816,2026-09-17T03:14:33Z__pid29540
Celer,202,5.0,0.01,0.5,RAW_UOT_PLAN_D4,624,True,9.909621522631704e-12,False,0.22002267949642879,0.2200226794964289,0.779977320503571,0.7799773205035713,0.1955834329162218,0.37726020000263816,2026-09-17T03:14:33Z__pid29540
Celer,202,5.0,0.02,0.5,CONDITIONAL_UOT_D4,320,True,9.460813904715545e-12,False,0.21827610941762407,0.21827610941762438,0.7817238905823761,0.7817238905823763,0.19602202004373395,0.21530540000094334,2026-09-17T03:14:33Z__pid29540
Celer,202,5.0,0.02,0.5,RAW_UOT_PLAN_D4,320,True,9.460813904715545e-12,False,0.21827610941762407,0.21827610941762438,0.7817238905823761,0.7817238905823763,0.19602202004373395,0.21530540000094334,2026-09-17T03:14:33Z__pid29540
Celer,202,5.0,0.05,0.5,CONDITIONAL_UOT_D4,129,True,9.213377826959381e-12,False,0.21315069497760644,0.2131506949776065,0.7868493050223935,0.7868493050223937,0.1973265048551218,0.16916040000069188,2026-09-17T03:14:32Z__pid29540
Celer,202,5.0,0.05,0.5,RAW_UOT_PLAN_D4,129,True,9.213377826959381e-12,False,0.21315069497760644,0.2131506949776065,0.7868493050223935,0.7868493050223937,0.1973265048551218,0.16916040000069188,2026-09-17T03:14:32Z__pid29540
Celer,202,5.0,0.1,0.5,CONDITIONAL_UOT_D4,67,True,9.414271678289007e-12,False,0.20486085333239856,0.20486085333239826,0.7951391466676014,0.7951391466676017,0.19996174143516565,0.09516810000059195,2026-09-17T03:14:33Z__pid29540
Celer,202,5.0,0.1,0.5,RAW_UOT_PLAN_D4,67,True,9.414271678289007e-12,False,0.20486085333239856,0.20486085333239826,0.7951391466676014,0.7951391466676017,0.19996174143516565,0.09516810000059195,2026-09-17T03:14:33Z__pid29540
Celer,202,5.0,0.2,0.5,CONDITIONAL_UOT_D4,36,True,9.272203605303644e-12,False,0.18960739071982893,0.18960739071982888,0.8103926092801709,0.8103926092801711,0.20408987561926453,0.09188970000104746,2026-09-17T03:14:34Z__pid29540
Celer,202,5.0,0.2,0.5,RAW_UOT_PLAN_D4,36,True,9.272203605303644e-12,False,0.18960739071982893,0.18960739071982888,0.8103926092801709,0.8103926092801711,0.20408987561926453,0.09188970000104746,2026-09-17T03:14:34Z__pid29540
Celer,203,5.0,0.01,0.5,CONDITIONAL_UOT_D4,618,True,9.621489530011943e-12,False,0.2307529410524638,0.23075294105246355,0.7692470589475364,0.7692470589475364,0.18472033173376667,0.28478009999525966,2026-09-17T03:14:36Z__pid29540
Celer,203,5.0,0.01,0.5,RAW_UOT_PLAN_D4,618,True,9.621489530011943e-12,False,0.2307529410524638,0.23075294105246355,0.7692470589475364,0.7692470589475364,0.18472033173376667,0.28478009999525966,2026-09-17T03:14:36Z__pid29540
Celer,203,5.0,0.02,0.5,CONDITIONAL_UOT_D4,319,True,9.45855118798827e-12,False,0.2471040140772817,0.24710401407728155,0.7528959859227184,0.7528959859227184,0.18084049081969905,0.20493100000021514,2026-09-17T03:14:36Z__pid29540
Celer,203,5.0,0.02,0.5,RAW_UOT_PLAN_D4,319,True,9.45855118798827e-12,False,0.2471040140772817,0.24710401407728155,0.7528959859227184,0.7528959859227184,0.18084049081969905,0.20493100000021514,2026-09-17T03:14:36Z__pid29540
Celer,203,5.0,0.05,0.5,CONDITIONAL_UOT_D4,131,True,9.353701809358153e-12,False,0.29162587981851323,0.29162587981851307,0.7083741201814869,0.7083741201814869,0.17111438252514868,0.11121230000571813,2026-09-17T03:14:35Z__pid29540
Celer,203,5.0,0.05,0.5,RAW_UOT_PLAN_D4,131,True,9.353701809358153e-12,False,0.29162587981851323,0.29162587981851307,0.7083741201814869,0.7083741201814869,0.17111438252514868,0.11121230000571813,2026-09-17T03:14:35Z__pid29540
Celer,203,5.0,0.1,0.5,CONDITIONAL_UOT_D4,69,True,8.180941066882317e-12,False,0.34394199471523296,0.34394199471523307,0.6560580052847673,0.6560580052847673,0.19933759261008105,0.11904040000081295,2026-09-17T03:14:36Z__pid29540
Celer,203,5.0,0.1,0.5,RAW_UOT_PLAN_D4,69,True,8.180941066882317e-12,False,0.34394199471523296,0.34394199471523307,0.6560580052847673,0.6560580052847673,0.19933759261008105,0.11904040000081295,2026-09-17T03:14:36Z__pid29540
Celer,203,5.0,0.2,0.5,CONDITIONAL_UOT_D4,38,True,5.116553704935921e-12,False,0.3667271062545968,0.3667271062545966,0.6332728937454034,0.6332728937454034,0.29051166807397716,0.10712919999787118,2026-09-17T03:14:37Z__pid29540
Celer,203,5.0,0.2,0.5,RAW_UOT_PLAN_D4,38,True,5.116553704935921e-12,False,0.3667271062545968,0.3667271062545966,0.6332728937454034,0.6332728937454034,0.29051166807397716,0.10712919999787118,2026-09-17T03:14:37Z__pid29540
Celer,204,5.0,0.01,0.5,CONDITIONAL_UOT_D4,627,True,9.745072291530948e-12,False,0.28563660848256095,0.2542137899087206,0.7457862100912793,0.7457862100912793,0.18567145361657883,0.3445891000010306,2026-09-17T03:14:39Z__pid29540
Celer,204,5.0,0.01,0.5,RAW_UOT_PLAN_D4,627,True,9.745072291530948e-12,False,0.28563660848256095,0.2542137899087206,0.7457862100912793,0.7457862100912793,0.18567145361657883,0.3445891000010306,2026-09-17T03:14:39Z__pid29540
Celer,204,5.0,0.02,0.5,CONDITIONAL_UOT_D4,316,True,9.690385521282057e-12,False,0.293876633949064,0.27176981281416646,0.7282301871858334,0.7282301871858334,0.18424436524842494,0.22256600000400795,2026-09-17T03:14:39Z__pid29540
Celer,204,5.0,0.02,0.5,RAW_UOT_PLAN_D4,316,True,9.690385521282057e-12,False,0.293876633949064,0.27176981281416646,0.7282301871858334,0.7282301871858334,0.18424436524842494,0.22256600000400795,2026-09-17T03:14:39Z__pid29540
Celer,204,5.0,0.05,0.5,CONDITIONAL_UOT_D4,131,True,9.391658796299128e-12,False,0.31769789107861734,0.31769789107861723,0.6823021089213828,0.6823021089213828,0.18199394199754565,0.11864970000169706,2026-09-17T03:14:38Z__pid29540
Celer,204,5.0,0.05,0.5,RAW_UOT_PLAN_D4,131,True,9.391658796299128e-12,False,0.31769789107861734,0.31769789107861723,0.6823021089213828,0.6823021089213828,0.18199394199754565,0.11864970000169706,2026-09-17T03:14:38Z__pid29540
Celer,204,5.0,0.1,0.5,CONDITIONAL_UOT_D4,69,True,8.852165716927521e-12,False,0.36912130394973536,0.3691213039497354,0.6308786960502647,0.6308786960502647,0.21612546489378376,0.12798759999714093,2026-09-17T03:14:40Z__pid29540
